source,wind_speed_kn,wind_gust_kn,wind_dir_deg,wind_dir_txt
ALADIN 2.3 km,10.0,16.7,262.0,W
AROME-AT 2.5 km,4.9,,323.0,NW
AROME-FR 1.3 km,3.1,15.1,339.0,NNW
GDPS 15 km,3.9,8.1,211.0,SSW
GFS 13 km,7.6,12.5,216.0,SW
HARM-DK 2 km,3.4,6.1,324.0,NW
HARMONIE 5 km,5.1,11.6,346.0,NNW
ICON 13 km,5.5,,223.0,SW
ICON 2.2 km,6.5,0.0,204.0,SSW
ICON 7 km,5.1,17.2,324.0,NW
ICON-2I 2.2 km,9.5,19.1,220.0,SW
ICON-CH 1 km,4.7,8.9,205.0,SSW
IFS-HRES 9 km,6.5,16.9,235.0,SW
UKV 2 km,3.4,6.5,179.0,S
WRF 9 km,7.1,12.0,230.0,SW
Zephr-HD 2.6 km,2.0,3.3,214.0,SW
WSA-Ipsach (measured),0.0,0.0,157.5,SSO
